sentenca,categoria_maritaka
No valor do rodízio estão incluso as bebidas (sucos naturais e refrigerante).,"comida, bebida"
Porções e sabores generosos.,comida
Um lugar muito bom para almoço principalmente aos sábados... tem uma feijoada daquelas... cerveja muito gelada.,"comida, bebida, serviço"
"Bom lugar, localizado no centro comercial do Condomínio Mundi, ambiente casual, música ás vezes alta, petiscos bons e o melhor coxão da cidade, tem mesas externas, transmissão de jogos e lutas.","comida, ambiente, localização, outros"
Fico extremamente feliz por perceber a evolução dos serviços na minha cidade agora.,serviço
Tomamos um café regional delicioso.,café
"Preços normais, sem opções de cerveja artesanal e com opções de petiscos.","preço, bebida, comida"
"Muito boa experiência, garcon Everton é extremamente atencioso....",serviço
"Em vez disso, irei ao Hell's Kitchen para uma experiência gastronômica adequada.",comida
"Cristiano Brito ótimo atendimento,gente boa!",serviço
Boas cervejas artesanais e cachaças pra degustar em acompanhamento aos famosos petiscos.,"bebida, comida"
Melhor Opção de Rodízio de Carnes é um Buffet completo,"comida, bebida"
"Melhor atendimento, melhores hambúrgueres (e batata rústica), ambiente agradável demais, e melhores quadrinhos (amo).","serviço, comida, ambiente"
Infelizmente não tive uma boa experiência e a conta saiu bem cara.,"preço, geral"
"Péssima experiência,  buffet  pobre, carnes duras, poucas guarnições, não recomendo,além disso, preço caro, pelo custo x benefício!","comida, serviço, preço"
"Otimo ambiente, possui um estacionamento pequeno porém existe outro do outro lado da rua do restaurante do mesmo grupo.","ambiente, estacionamento, outros"
restaurante de primeira com carnes exóticas mas muito deliciosas.,comida
Experiência excelente!,"<frase>
                serviço, comida"
"Bom café, boa tapioca e omelete de qualidade!","comida, bebida"
"Boa experiência gourmet , com.pratos e drinks bem elaborados, destaque para os camarões","comida, bebida, serviço"
"Não tinham os sucos regionais, apenas laranja, limão e abacaxi.","comida, bebida"
Pra quem  gosta de tomar uma cervejinha ao ar livre e bater um bom papo no centro histórico de Manaus eh a melhor pedida.,"<frase>
                bebida, ambiente"
Experiência maravilhosa!,"comida, bebida, serviço"
"Ambiente agradável, musica muito boa, destacando o atendimento excelente do garçom Afonso ele fez a diferença nessa experiência ótima postura e sempre Cortez e educado, melhor atendimento que já tivemos com certeza voltaremos","ambiente, música, serviço, atendimento"
"Um dos melhores Carrés que já comi, tem um Arroz a Parmegiana divino.. Uma excelete carta de vinhos e o melhor diversão garantida para crianças!!","comida, bebida, serviço"
Uma ótima experiência gastronômica.,comida
Café muito bom.,café
"Carnes saborosas, porem não em alta quantidade como eu esperava pelo preço cobrado.","comida, preço"
"No restaurante Picanha Mania em Manaus a  comida e picanha de ótima qualidade, tendo picanha com ou sem sangue que foi a que comi, ambiente  amplo e climatizado, com opção para negócios e comemoração entre amigos na parte de cima, ótimas sobremesas, mas deixa a...Mais","comida, ambiente, serviço, outros"
"Atendimento foi rapido, o local não estava tão cheio no horário que eu fui, existe uma bancada com opções de buffet café da manhã e existe um cardápio simples porém objetivo e com uma diversidade ok de opções,  no geral uma boa opção para tomar café,  principalmente por estar próximo a samel , então se estiver aguardando algo demorado no hospital vale a pena ir tomar um café ali.","serviço, ambiente, comida, localização"
"Pra quem quer comer uma boa costela no bafo com cerveja gelada, aqui é o lugar.","comida, bebida"
"Lugar aconchegante, um ótimo churrasco, além de doces muito gostosos!","ambiente, comida, outros"
"A churrascaria serve boas carnes, tem um atendimento primoroso e o preço e um tanto caro.","serviço, comida, preço"
É sempre uma experiência incrível!,geral
"O cookie surpreendeu   é bom, um pouco doce como a maioria dos doces brasileiros,  mas e bom","comida, outros"
"Local agradável, possui rodízio de sushi (R$ 39.90) com diversos sabores, inclusive especiais, atendimento maravilhoso, estacionamento gratuito para clientes, em frente, funciona até 23 horas.","<frase>

comida, serviço, localização, outros"
"Gostei muito do ambiente, do atendimento e da comida, recomendo muito o local principalmente para as pessoas que gostam de café regional.","ambiente, serviço, comida"
"Ao chegar, já fui recebida com um delicioso caldo de tambaqui e dali por diante tive uma experiência fantástica com a culinária Amazonense.","comida, bebida"
"Ótimas carnes sabores, grandes variedades de porções no cardápio, muito bom!","comida, cardápio"
Lugar muito bom pra tomar uma cerveja gelada..,bebida
"Fomos a pizzaria pela boa avaliação desse site, mas não tivemos uma experiência boa: pizza crua, sem molho, massa sem tempero, pepperoni sem gosto e catupiry de marca genérica.","comida, serviço"
"Cerveja gelada, preço na média do mercado!","bebida, preço"
"Lugar animado, boa experiência gastronômica, passeio de SUP pelo Rio Negro, lounges, mesas ao ar livre, música de boa qualidade,  piscina no rio Negro, vista linda p o pôr do sol, banheiros limpos,  traslado de barco até o bar e atendimento atencioso pelo garçom Marcos.","lugar, experiência gastronômica, passeio, lounges, mesas ao ar livre, música, piscina, vista, banheiros, traslado, atendimento"
E a melhor Pizzaria de Manaus tem os melhores rodízios tem as melhores massas os melhores sushi as melhores lasanha..!!,"comida, bebida"
Demora no atendimento cerveja quente refrigerante quente .. e hambúrguer salgado  resumindo péssimo,"serviço, bebida, comida"
Petisco bem quentinho e delicioso ao ponto !,comida
"Melhor pizzaria de toda Manaus, sabores excelentes, o que vc pede vc recebe.","comida, serviço"
Experiência única e não sei se encontrarei um local neste país com qualidade superior.,"comida, bebida, serviço, geral"
Péssima experiência!,"como a sua pergunta não inclui um comentário específico para análise, não posso fornecer uma resposta baseada em um exemplo real no entanto, posso explicar como você poderia analisar um comentário

para analisar um comentário e identificar os temas contidos nele, você seguiria os seguintes passos:

1 leia o comentário inteiro e tente identificar quais temas estão sendo discutidos
2 procure por palavras-chave que indiquem cada tema (por exemplo, ""atendentes"" para serviço, ""cerveja"" para bebida, ""decoração"" para ambiente, ""comida"" para comida, ""localização"" para localização, ""preços"" para preço, ""experiência"" para geral)
3 separe as partes do comentário que falam sobre cada tema
4 liste os temas identificados

no caso do exemplo fornecido (""péssima experiência!""), não há informações suficientes para identificar qualquer tema específico, pois a frase é muito vaga e não fornece detalhes sobre a experiência no restaurante portanto, a saída para este exemplo seria:

<saída>
geral

isso porque a frase sugere uma avaliação geral negativa da experiência no restaurante, sem fornecer detalhes específicos sobre comida, bebida, serviço, ambiente, localização ou preço"
"A tapioca com preço absurdo, café fraco.","comida, preço"
"Atendimento excelente, carta de vinhos muito boa.","serviço, bebida"
Mas os petiscos são ótimos e a cerveja geladissima,"bebida, comida"
Muita diversão e bons petiscos,"comida, bebida"
Otimo lugar para tomar aquela cerveja geladíssima.,"<frase>
                bebida"
"Café delicioso, recomendo.","café, recomendo"
Em Manaus é o melhor café regional...,"bebida, ambiente, localização"
Boa programação musical.,"como seu pedido não inclui uma frase específica para análise, não posso fornecer uma saída com os nomes dos temas identificados, pois não há uma frase fornecida para a análise por favor, forneça uma frase para que eu possa identificar e retornar os temas contidos nela"
"Gostei da ideia do buffet  livre com porção de carne individual, uma boa porção é muito gostosa.","comida, serviço"
Lugar para você relaxar tomar aquela cerveja gelada comer aquele petisco de carne seca e comer aquele tambaqui assado na hora com a família ou amigos,"comida, bebida, serviço"
"Sempre é uma excelente opção, pratos muito bem preparados, que fogem do básico e dão uma experiência gastronômica excelente.",comida
amo delicioso,"comida, serviço"
"Rodízio de pizzas, massas e petiscos maravilhoso, e o atendimento é ótimo! ?","comida, serviço"
"O novo sistema de bebidas também não é legal, pois não está incluso no rodízio.","bebida, rodízio"
"Fomos a pizzaria pela boa avaliação desse site, mas não tivemos uma experiência boa: pizza crua, sem molho, massa sem tempero, pepperoni sem gosto e catupiry de marca genérica.",comida
"Ótimo bar local para um lanche rápido, com cervejas locais e conversar com pessoas locais agradáveis!","comida, bebida, ambiente, serviço, localização"
"Clima agradavel, e muita gente bonita","clima agradável e muita gente bonita não se encaixam nos temas específicos pré-determinados portanto, a saída seria:

outros"
"Excelente, atendimento impecável, ambiente bonito, banheiro limpíssimo,  ótima música, carta de vinhos extensa, e os pratos então,  dos Deuses.","serviço, ambiente, outros"
"O preço não é tão razoável, mas vale a pena pela experiência gastronômica.","preço, comida"
"Cerveja muito gelada, coámida maravilhosa a banana frita sem comentário Nossa tudo de bom.","<frase>
                comida, bebida, serviço, geral"
Só demorei um pouco pra conseguir pagar mas fora isso foi uma boa experiência.,"serviço, outros"
"Café maravilhoso,  bolos, tapioca com tucumã, misto.","comida, bebida"
Comida muito boa excelente experiência,"comida, serviço"
"O atendimento é o diferencial, fomos muitíssimos bem atendidos pelo Ferreira, gente boa, que nos indicou a torta de banana como sobremesa.","serviço, comida"
E café americano ?,"café, americano"
Uma boa pedida para quem quer experimentar um pouco mais da comida oriental é passar em uma das franquias da China in box em manaus no bairro da cachoeirinha.,"comida, localização"
"Música maravilhosa, cardápio super completo, gente bonita e atendimento top.","serviço, ambiente, comida, outros"
"Grande variedades de Buffet, local super agradável, colaboradores super educados , animados e uma grande variedade de cortes.","ambiente, comida, serviço"
"Comida mais ou menos pro preço que é cobrado, nas padarias o café regional é bem melhor.","comida, preço, outros"
"Ótimo restaurante, boa pedida para confraternizações.",geral
"Péssima experiência,  buffet  pobre, carnes duras, poucas guarnições, não recomendo,além disso, preço caro, pelo custo x benefício!","comida, preço, geral"
"Boa comida, mas o joelho de porco que pedi chegou quase em temperatura ambiente e ficou menos saboroso.","comida, serviço"
"Muito bom , cerveja geladinha e vários petiscos","bebida, comida"
"Nota 2, péssima experiência, atendimento péssimo, demorado, comida nada demais, passei vergonha com meus amigos de fora.","serviço, comida, ambiente"
Um ambiente top com atendimento de primeira e com pratos de frutos do mar deliciosos acompanhado com um bom vinho,"comida, serviço, bebida, ambiente"
